source,target,source_name,target_name,role,sum_box_office,avg_box_office,avg_rating,movies
11218,9647,Alfonso Cuarón,Steven Weisberg,Editor,855314069.0,285104690,7.41,"[{""id"": 673, ""title"": ""Harry Potter and the Prisoner of Azkaban"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0304141/"", ""rating"": 8.02, ""revenue"": 789804554}, {""id"": 9410, ""title"": ""Great Expectations"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt0119223/"", ""rating"": 6.6, ""revenue"": 55494066}, {""id"": 19101, ""title"": ""A Little Princess"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0113670/"", ""rating"": 7.615, ""revenue"": 10015449}]"
11218,9165,Alfonso Cuarón,Michael Seresin,Cinematographer,794661921.0,397330960,7.4,"[{""id"": 673, ""title"": ""Harry Potter and the Prisoner of Azkaban"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0304141/"", ""rating"": 8.02, ""revenue"": 789804554}, {""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,491,Alfonso Cuarón,John Williams,Music Composer,789804554.0,789804554,8.02,"[{""id"": 673, ""title"": ""Harry Potter and the Prisoner of Azkaban"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0304141/"", ""rating"": 8.02, ""revenue"": 789804554}]"
11218,23401,Alfonso Cuarón,Alex Rodríguez,Editor,109069523.0,36356508,7.27,"[{""id"": 1391, ""title"": ""Y Tu Mam\u00e1 Tambi\u00e9n"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0245574/"", ""rating"": 7.414, ""revenue"": 33616692}, {""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}, {""id"": 9693, ""title"": ""Children of Men"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0206634/"", ""rating"": 7.606, ""revenue"": 70595464}]"
11218,4185,Alfonso Cuarón,Emmanuel Lubezki,Cinematographer,892914376.0,178582875,7.28,"[{""id"": 1391, ""title"": ""Y Tu Mam\u00e1 Tambi\u00e9n"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0245574/"", ""rating"": 7.414, ""revenue"": 33616692}, {""id"": 9410, ""title"": ""Great Expectations"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt0119223/"", ""rating"": 6.6, ""revenue"": 55494066}, {""id"": 9693, ""title"": ""Children of Men"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0206634/"", ""rating"": 7.606, ""revenue"": 70595464}, {""id"": 49047, ""title"": ""Gravity"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt1454468/"", ""rating"": 7.162, ""revenue"": 723192705}, {""id"": 19101, ""title"": ""A Little Princess"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0113670/"", ""rating"": 7.615, ""revenue"": 10015449}]"
11218,1078,Alfonso Cuarón,Mathilde Bonnefoy,Editor,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,7294,Alfonso Cuarón,Anne Klotz,Editor,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23398,Alfonso Cuarón,Stan Collet,Editor,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23400,Alfonso Cuarón,Isabel Meier,Editor,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23402,Alfonso Cuarón,Hisako Suwa,Editor,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,1077,Alfonso Cuarón,Frank Griebe,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,2423,Alfonso Cuarón,Bruno Delbonnel,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,5071,Alfonso Cuarón,Matthieu Poirot-Delpech,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,5431,Alfonso Cuarón,Pierre Aïm,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,16930,Alfonso Cuarón,Tetsuo Nagata,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,21769,Alfonso Cuarón,Bruno Podalydès,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23461,Alfonso Cuarón,Maxime Alexandre,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23465,Alfonso Cuarón,Pascal Marti,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23466,Alfonso Cuarón,David Quesemand,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23467,Alfonso Cuarón,Pascal Rabaud,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,23468,Alfonso Cuarón,Christophe Paturange,Cinematographer,4857367.0,4857367,6.78,"[{""id"": 2266, ""title"": ""Paris Je T'aime"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0401711/"", ""rating"": 6.779, ""revenue"": 4857367}]"
11218,9152,Alfonso Cuarón,Patrick Doyle,Music Composer,65509515.0,32754758,7.11,"[{""id"": 9410, ""title"": ""Great Expectations"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt0119223/"", ""rating"": 6.6, ""revenue"": 55494066}, {""id"": 19101, ""title"": ""A Little Princess"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0113670/"", ""rating"": 7.615, ""revenue"": 10015449}]"
11218,58850,Alfonso Cuarón,John Tavener,Music Composer,70595464.0,70595464,7.61,"[{""id"": 9693, ""title"": ""Children of Men"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0206634/"", ""rating"": 7.606, ""revenue"": 70595464}]"
11218,1084741,Alfonso Cuarón,Mark Sanger,Editor,723192705.0,723192705,7.16,"[{""id"": 49047, ""title"": ""Gravity"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt1454468/"", ""rating"": 7.162, ""revenue"": 723192705}]"
11218,16368,Alfonso Cuarón,Steven Price,Music Composer,724333474.0,362166737,7.42,"[{""id"": 49047, ""title"": ""Gravity"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt1454468/"", ""rating"": 7.162, ""revenue"": 723192705}, {""id"": 426426, ""title"": ""Roma"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt6155172/"", ""rating"": 7.668, ""revenue"": 1140769}]"
11218,1775559,Alfonso Cuarón,Adam Gough,Editor,1140769.0,1140769,7.67,"[{""id"": 426426, ""title"": ""Roma"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt6155172/"", ""rating"": 7.668, ""revenue"": 1140769}]"
